id,ward,channel,citizenInput,sector,subSector,budgetResult,status,submittedAt
SUB-10241,Umoja I,SMS,We need a maternity wing at the Umoja dispensary. Women are traveling too far to give birth.,Health,Maternal Care,"Enacted Budget Line 42-B: Ksh 5,000,000 allocated for Umoja Dispensary Expansion.",matched,2025-06-14
SUB-10188,Ruai,USSD,Our cattle keep falling sick. We requested a cattle dip near Ruai market to control ticks.,Agriculture,Livestock Health,"Enacted Budget Line 17-C: Ksh 800,000 allocated of the Ksh 2,000,000 requested for Ruai Cattle Dip.",partial,2025-06-09
SUB-10156,Kayole North,Baraza,The Kayole–Soweto access road is impassable when it rains. We asked for grading and murraming.,Infrastructure,Roads & Transport,No matching line found in the enacted budget. Request was not carried into FY 2025/26.,ignored,2025-05-28
SUB-10122,Dandora Area II,Web Form,We need two more ECD classrooms at Dandora Primary. Toddlers are learning under a tree.,Education,Early Childhood Development,"Enacted Budget Line 09-A: Ksh 3,200,000 allocated for ECD Classroom Construction, Dandora Area II.",matched,2025-05-21
SUB-10305,Umoja I,Web Form,We need a maternity wing at the Umoja dispensary,Health,Maternal Care,"Enacted Budget Line 42-B: Ksh 5,000,000 allocated for Umoja Dispensary Expansion — maternity wing and maternal health services.",matched,2026-07-28
SUB-10306,Umoja I,Web Form,We need clean water and boreholes in Kariobangi North. The current supply is unreliable.l,Water & Sanitation,Water Supply,"Enacted Budget Line 21-D: Ksh 1,800,000 allocated of the Ksh 4,000,000 requested for Water pipeline extension.",partial,2026-07-28
SUB-10307,Umoja I,Web Form,"Proper roads at junction mall, Ngong Road",Infrastructure,Roads & Transport,"Enacted Budget Line 15-A: Ksh 2,000,000 allocated of the Ksh 2,000,000 requested for Road grading and murraming across selected wards.",partial,2026-07-28
SUB-10308,Umoja I,Web Form,Pumwani maternity expansion,Health,Maternal Care,"Enacted Budget Line 42-B: Ksh 5,000,000 allocated for Umoja Dispensary Expansion — maternity wing and maternal health services.",matched,2026-07-28
<<<<<<< HEAD
SUB-10309,Dandora Area I,Web Form,ECDE Classroom expansion.,Education,Early Childhood Development,p.143 (87% match):  Improved the Teacher Pupil Ratio to 1:26 through employment of 498No.,matched,2026-07-28
SUB-10310,Kayole North,Web Form,Expansion of ECDE classrooms,Education,Early Childhood Development,"p.231 (87% match): construction of a new ECDE centre - Dandora Day Education Dandora Ward. KShs 12,960,929 · KShs 14,018,229.",matched,2026-07-28
SUB-10311,Dandora Area II,Web Form,Security enforcement,Security,Community Safety,p.5 (84% match): KShs 0724015310 · KShs 5329001600.,matched,2026-07-28
SUB-10312,Kariobangi South,Web Form,Road expansion,Infrastructure,Roads & Transport,"p.50 (84% match): Installation of street Services Increase of business time street lighting and. KShs 0718005310 · KShs 38,500.",matched,2026-07-28
SUB-10313,Dandora Area III,Web Form,We need better drainage and road repairs in Dandora Area III. The roads flood every rainy season.,Infrastructure,Roads & Transport,"p.139 (82% match): KShs 10,200.",matched,2026-07-29
